"payload_size","most_used_MCS","effective_latency"
50,0,0.199
100,0,0.247
150,0,0.311
200,0,0.359
250,0,0.423
300,0,0.471
350,0,0.519
400,0,0.583
450,0,0.631
500,0,0.695
550,0,0.743
600,0,0.791
650,0,0.855
700,0,0.903
750,0,0.967
800,0,1.015
850,0,1.079
900,0,1.127
950,0,1.175
1000,0,1.239
1050,0,1.287
1100,0,1.351
1150,0,1.399
1200,0,1.463
1250,0,1.511
1300,0,1.559
1350,0,1.623
1400,0,1.671
1450,0,1.735
1500,0,1.783
1550,0,1.831
1600,0,1.895
1650,0,1.943
1700,0,2.007
1750,0,2.055
1800,0,2.119
1850,0,2.167
1900,0,2.215
1950,0,2.279
2000,0,2.327
2050,0,2.391
2100,0,2.439
2150,0,2.487
2200,0,2.551
2250,0,2.599
2300,0,4.522
2350,0,4.586
2400,0,4.634
2450,0,4.682
2500,0,4.746
2550,0,4.794
2600,0,4.858
2650,0,4.906
2700,0,4.954
2750,0,5.018
2800,0,5.066
2850,0,5.13
2900,0,5.178
2950,0,5.242
3000,0,5.29
3050,0,5.338
3100,0,5.402
3150,0,5.45
3200,0,5.514
3250,0,5.562
3300,0,5.61
3350,0,5.674
3400,0,5.722
3450,0,5.786
3500,0,5.834
3550,0,5.898
3600,0,5.946
3650,0,5.994
3700,0,6.058
3750,0,6.106
3800,0,6.17
3850,0,6.218
3900,0,6.282
3950,0,6.33
4000,0,6.378
4050,0,6.442
4100,0,6.49
4150,0,6.554
4200,0,6.602
4250,0,6.65
4300,0,6.714
4350,0,6.762
4400,0,6.826
4450,0,6.874
4500,0,6.938
4550,0,7.05
4600,0,7.114
4650,0,7.162
4700,0,7.226
4750,0,7.274
4800,0,7.554
4850,0,7.602
4900,0,7.666
4950,0,7.714
5000,0,7.778
5050,0,7.826
5100,0,7.874
5150,0,7.938
5200,0,7.986
5250,0,8.05
5300,0,8.098
5350,0,8.162
5400,0,8.21
5450,0,8.258
5500,0,8.322
5550,0,8.37
5600,0,8.434
5650,0,8.482
5700,0,8.546
5750,0,8.594
5800,0,8.642
5850,0,8.706
5900,0,8.754
5950,0,8.818
6000,0,8.866
6050,0,8.914
6100,0,8.978
6150,0,9.026
6200,0,9.09
6250,0,9.138
6300,0,9.202
6350,0,9.25
6400,0,9.298
6450,0,9.362
6500,0,9.41
6550,0,9.474
6600,0,9.522
6650,0,9.57
6700,0,9.634
6750,0,9.682
6800,0,9.746
6850,0,9.874
6900,0,9.922
6950,0,9.97
7000,0,10.034
7050,0,10.082
7100,0,10.146
7150,0,10.194
7200,0,10.242
7250,0,10.306
7300,0,10.354
7350,0,10.418
7400,0,10.466
7450,0,10.53
7500,0,10.578
7550,0,10.626
7600,0,10.69
7650,0,10.738
7700,0,10.802
7750,0,10.85
7800,0,10.898
7850,0,10.962
7900,0,11.01
7950,0,11.074
8000,0,11.122
8050,0,11.186
8100,0,11.234
8150,0,11.282
8200,0,11.346
8250,0,11.394
8300,0,11.458
8350,0,11.506
8400,0,11.57
8450,0,11.618
8500,0,11.666
8550,0,11.73
8600,0,11.778
8650,0,11.842
8700,0,11.89
8750,0,11.938
8800,0,12.002
8850,0,12.05
8900,0,12.114
8950,0,12.162
9000,0,12.226
9050,0,12.274
9100,0,12.402
9150,0,12.45
9200,0,12.514
