"payload_size","most_used_MCS","effective_latency"
50,0,0.586
100,0,0.634
150,0,0.698
200,0,0.746
250,0,0.81
300,0,0.858
350,0,0.906
400,0,0.97
450,0,1.018
500,0,1.082
550,0,1.13
600,0,1.178
650,0,1.242
700,0,1.29
750,0,1.354
800,0,1.402
850,0,1.466
900,0,1.514
950,0,1.562
1000,0,1.626
1050,0,1.674
1100,0,1.738
1150,0,1.786
1200,0,1.85
1250,0,1.898
1300,0,1.946
1350,0,2.01
1400,0,2.058
1450,0,2.122
1500,0,2.17
1550,0,2.218
1600,0,2.282
1650,0,2.33
1700,0,2.394
1750,0,2.442
1800,0,2.506
1850,0,2.554
1900,0,2.602
1950,0,2.666
2000,0,2.714
2050,0,2.778
2100,0,2.826
2150,0,2.874
2200,0,2.938
2250,0,2.986
2300,0,3.114
2350,0,3.178
2400,0,3.226
2450,0,3.274
2500,0,3.338
2550,0,3.386
2600,0,3.45
2650,0,3.498
2700,0,3.546
2750,0,3.61
2800,0,3.658
2850,0,3.722
2900,0,3.77
2950,0,3.834
3000,0,3.882
3050,0,3.93
3100,0,3.994
3150,0,4.042
3200,0,4.106
3250,0,4.154
3300,0,4.202
3350,0,4.266
3400,0,4.314
3450,0,4.378
3500,0,4.426
3550,0,4.49
3600,0,4.538
3650,0,4.586
3700,0,4.65
3750,0,4.698
3800,0,4.762
3850,0,4.81
3900,0,4.874
3950,0,4.922
4000,0,4.97
4050,0,5.034
4100,0,5.082
4150,0,5.146
4200,0,5.194
4250,0,5.242
4300,0,5.306
4350,0,5.354
4400,0,5.418
4450,0,5.466
4500,0,5.53
4550,0,5.642
4600,0,5.706
4650,0,5.754
4700,0,5.818
4750,0,5.866
4800,0,6.209
4850,0,6.257
4900,0,6.321
4950,0,6.369
5000,0,6.433
5050,0,6.481
5100,0,6.529
5150,0,6.593
5200,0,6.641
5250,0,6.705
5300,0,6.753
5350,0,6.817
5400,0,6.865
5450,0,6.913
5500,0,6.977
5550,0,7.025
5600,0,7.089
5650,0,7.137
5700,0,7.201
5750,0,7.249
5800,0,7.297
5850,0,7.361
5900,0,7.409
5950,0,7.473
6000,0,7.521
6050,0,7.569
6100,0,7.633
6150,0,7.681
6200,0,7.745
6250,0,7.793
6300,0,7.857
6350,0,7.905
6400,0,7.953
6450,0,8.017
6500,0,8.065
6550,0,8.129
6600,0,8.177
6650,0,8.225
6700,0,8.289
6750,0,8.337
6800,0,8.401
6850,0,8.529
6900,0,8.577
6950,0,8.625
7000,0,8.689
7050,0,8.737
7100,0,8.801
7150,0,8.849
7200,0,8.897
7250,0,8.961
7300,0,9.009
7350,0,9.073
7400,0,9.121
7450,0,9.185
7500,0,9.233
7550,0,9.281
7600,0,9.345
7650,0,9.393
7700,0,9.457
7750,0,9.505
7800,0,9.553
7850,0,9.617
7900,0,9.665
7950,0,9.729
8000,0,9.777
8050,0,9.841
8100,0,9.889
8150,0,9.937
8200,0,10.001
8250,0,10.049
8300,0,10.113
8350,0,10.161
8400,0,10.225
8450,0,10.273
8500,0,10.321
8550,0,10.385
8600,0,10.433
8650,0,10.497
8700,0,10.545
8750,0,10.593
8800,0,10.657
8850,0,10.705
8900,0,10.769
8950,0,10.817
9000,0,10.881
9050,0,10.929
9100,0,11.057
9150,0,11.105
9200,0,11.169
9250,0,11.217
9300,0,11.265
9350,0,11.545
9400,0,11.609
9450,0,11.657
9500,0,11.721
9550,0,11.769
9600,0,11.817
9650,0,11.881
9700,0,11.929
9750,0,11.993
9800,0,12.041
9850,0,12.105
9900,0,12.153
9950,0,12.201
10000,0,12.265
10050,0,12.313
10100,0,12.377
10150,0,12.425
10200,0,12.489
10250,0,12.537
10300,0,12.585
10350,0,12.649
10400,0,12.697
10450,0,12.761
10500,0,12.809
10550,0,12.857
10600,0,12.921
10650,0,12.969
10700,0,13.033
10750,0,13.081
10800,0,13.145
10850,0,13.193
10900,0,13.241
10950,0,13.305
11000,0,13.353
11050,0,13.417
11100,0,13.465
11150,0,13.513
11200,0,13.577
11250,0,13.625
11300,0,13.689
11350,0,13.737
11400,0,13.865
11450,0,13.913
11500,0,13.977
11550,0,14.025
11600,0,14.089
11650,0,14.137
11700,0,14.185
11750,0,14.249
11800,0,14.297
11850,0,14.361
11900,0,14.409
11950,0,14.473
12000,0,14.521
12050,0,14.569
12100,0,14.633
12150,0,14.681
12200,0,14.745
12250,0,14.793
12300,0,14.841
12350,0,14.905
12400,0,14.953
12450,0,15.017
12500,0,15.065
12550,0,15.129
12600,0,15.177
12650,0,15.225
12700,0,15.289
12750,0,15.337
12800,0,15.401
12850,0,15.449
12900,0,15.497
12950,0,15.561
13000,0,15.609
13050,0,15.673
13100,0,15.721
13150,0,15.785
13200,0,15.833
13250,0,15.881
13300,0,15.945
13350,0,15.993
13400,0,16.057
13450,0,16.105
13500,0,16.169
13550,0,16.217
13600,0,16.265
13650,0,16.393
13700,0,16.457
13750,0,16.505
13800,0,16.553
13850,0,16.617
13900,0,16.924
13950,0,16.972
14000,0,17.036
14050,0,17.084
14100,0,17.132
14150,0,17.196
14200,0,17.244
14250,0,17.308
14300,0,17.356
14350,0,17.42
14400,0,17.468
14450,0,17.516
14500,0,17.58
14550,0,17.628
14600,0,17.692
14650,0,17.74
14700,0,17.788
14750,0,17.852
14800,0,17.9
14850,0,17.964
14900,0,18.012
14950,0,18.076
15000,0,18.124
15050,0,18.172
15100,0,18.236
15150,0,18.284
15200,0,18.348
15250,0,18.396
15300,0,18.46
15350,0,18.508
15400,0,18.556
15450,0,18.62
15500,0,18.668
15550,0,18.732
15600,0,18.78
15650,0,18.828
15700,0,18.892
15750,0,18.94
15800,0,19.004
15850,0,19.052
15900,0,19.18
15950,0,19.228
16000,0,19.292
16050,0,19.34
16100,0,19.404
16150,0,19.452
16200,0,19.5
16250,0,19.564
16300,0,19.612
16350,0,19.676
16400,0,19.724
